chiname,chifullname,engname,chicapital,continent,gdp,area,population,nobel,longevity,gun,murder
阿布哈茲,阿布哈茲共和國,Abkhazia,蘇呼米,asia,,8660,244832,0,,,
阿富汗,阿富汗伊斯蘭共和國,Afghanistan,喀布爾,asia,69.51,652230,32225560,0,60.5,12.5,7.1
阿爾巴尼亞,阿爾巴尼亞共和國,Albania,地拉那,europe,35.87,28748,2862427,0,77.8,12,2.3
阿爾及利亞,阿爾及利亞民主人民共和國,Algeria,阿爾及爾,africa,629.3,2381741,43378027,2,75.6,2.1,1.36
安道爾,安道爾公國,Andorra,老安道爾,europe,3.327,468,76177,0,,14.1,0
安哥拉,安哥拉共和國,Angola,魯安達,africa,192,1246700,30175553,0,52.4,11.2,4.85
安地卡及巴布達,安地卡及巴布達,Antigua and Barbuda,聖約翰斯 (安地卡及巴布達),north_america,2.39,442,97118,0,76.4,5.4,10.33
阿根廷,阿根廷共和國,Argentina,布宜諾斯艾利斯,south_america,911.5,2780400,44938712,5,76.3,7.4,5.1
亞美尼亞,亞美尼亞共和國,Armenia,葉里溫,asia,27.21,29743,2962100,0,74.8,6.1,2.4
澳洲,澳大利亞聯邦,Australia,坎培拉,oceania,1235,7692024,25444200,12,82.8,14.5,0.8
奧地利,奧地利共和國,Austria,維也納,europe,434.1,83871,8869537,21,81.5,30,0.66
亞塞拜然,亞塞拜然共和國,Azerbaijan,巴庫,asia,166.8,86600,10000000,1,72.7,3.6,2
巴哈馬,巴哈馬國,The Bahamas,拿索,north_america,9.339,13943,385340,0,,,
巴林,巴林王國,Bahrain,麥納瑪,asia,69.77,767,1543300,0,76.9,12.8,0.52
孟加拉國,孟加拉人民共和國,Bangladesh,達卡,asia,686.5,147570,166965000,1,71.8,0.4,2.2
巴貝多,巴貝多,Barbados,布里奇敦,north_america,4.919,430,287025,0,75.5,3.5,10.5
白俄羅斯,白俄羅斯共和國,Belarus,明斯克,europe,175.9,207600,9465300,2,72.3,6.1,3.58
比利時,比利時王國,Belgium,布魯塞爾,europe,526.4,30528,11473875,10,81.1,12.7,1.7
貝里斯,貝里斯,Belize,貝爾墨邦,north_america,3.23,22966,398050,0,70.1,10,37.9
貝南,貝南共和國,Benin,新港,africa,25.29,114763,11733059,0,60,0.3,1.1
不丹,不丹王國,Bhutan,辛布,asia,7.011,38394,741672,0,69.8,0.8,1.6
玻利維亞,多民族玻利維亞國,Bolivia,蘇克瑞,south_america,83.5,1098581,11469896,0,70.7,2,6.3
波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Bosnia and Herzegovina,,,43.85,51209,3301000,2,77.4,31.2,1.2
波札那,波札那共和國,Botswana,嘉柏隆里,africa,39.55,581730,2338851,0,65.7,4.1,15.04
巴西,巴西聯邦共和國,Brazil,巴西利亞,south_america,3219,8515767,210224000,0,75,8.3,30.5
汶萊,汶萊和平之國,Brunei,斯里巴卡旺,asia,32.91,5765,442400,0,77.7,1.4,0.49
保加利亞,保加利亞共和國,Bulgaria,索菲亞,europe,152.4,110879,7000039,1,74.5,8.4,1.5
布吉納法索,布吉納法索,Burkina Faso,瓦加杜古,africa,35.68,274222,20870060,0,59.9,0.9,1.3
蒲隆地,蒲隆地共和國,Burundi,布松布拉,africa,7.985,27834,10953317,0,59.6,2,6.02
柬埔寨,柬埔寨王國,Cambodia,金邊,asia,64.21,181035,16289270,0,68.7,4.5,1.84
喀麥隆,喀麥隆共和國,Cameroon,雅恩德,africa,81.55,475442,24348251,0,57.3,2.1,1.4
加拿大,加拿大,Canada,渥太華,north_america,1764,9984670,37562500,24,82.2,34.7,1.8
維德角,維德角共和國,Cape Verde,培亞,africa,3.734,4033,550483,0,73.3,5.7,11.49
中非,中非共和國,Central African Republic,,,3.395,622984,5496011,0,52.5,1.8,19.76
查德,查德共和國,Chad,恩加美納,africa,29.64,1284000,15692969,0,53.1,1,9.04
智利,智利共和國,Chile,聖地牙哥,south_america,452.1,756102,19107216,2,80.5,12.1,4.3
中華人民共和國,中華人民共和國,China,北京,asia,23120,9596961,1398400000,9,76.1,3.6,0.6
哥倫比亞,哥倫比亞共和國,Colombia,波哥大,south_america,712.5,1141748,48258494,2,74.8,10.1,24.9
葛摩,葛摩聯盟,Comoros,莫洛尼,africa,1.323,1862,873724,0,63.5,1.5,7.7
哥斯大黎加,哥斯大黎加共和國,Costa Rica,聖荷西,north_america,85.2,51100,5058007,1,79.6,10,12.3
象牙海岸,象牙海岸共和國,Ivory Coast,雅穆索戈,africa,,322463,25823071,0,,4.4,11.63
克羅埃西亞,克羅埃西亞共和國,Croatia,札格瑞布,europe,100.2,56594,4130304,3,78,13.7,1.1
古巴,古巴共和國,Cuba,哈瓦那,north_america,132.9,109884,11209628,0,79.1,2.1,4.99
賽普勒斯,賽普勒斯共和國,Cyprus,尼柯西亞,asia,31.19,9251,864200,1,80.5,34,0.6
捷克,捷克共和國,Czech Republic,布拉格,europe,372.6,78865,10652812,5,78.8,12.5,0.6
丹麥,丹麥王國,Denmark,哥本哈根,europe,285.5,2220093,5811413,14,80.6,9.9,1.2
吉布地,吉布地共和國,Djibouti,吉布地市,africa,3.64,23200,1078373,0,63.5,3.1,6.48
多米尼克,多米尼克國,Dominica,羅梭,north_america,0.851,751,71808,0,,6.2,25.7
多明尼加,多明尼加共和國,Dominican Republic,聖多明哥,north_america,172.6,48671,10358320,0,73.9,7.4,11.3
厄瓜多,厄瓜多共和國,Ecuador,基多,south_america,188.5,276841,17287700,0,76.2,2.4,5.8
埃及,埃及阿拉伯共和國,Egypt,開羅,africa,1199,1002450,99024400,4,70.9,4.1,2.51
薩爾瓦多,薩爾瓦多共和國,El Salvador,聖薩爾瓦多,north_america,56.9,21041,6704864,0,73.5,12,61.8
赤道幾內亞,赤道幾內亞共和國,Equatorial Guinea,馬拉博,africa,29.38,28051,1358276,0,58.2,12.5,2.31
厄利垂亞,厄利垂亞國,Eritrea,阿斯瑪拉,africa,9.631,117600,3497117,0,64.7,0.4,8.04
愛沙尼亞,愛沙尼亞共和國,Estonia,塔林,europe,41.2,45227,1324820,0,77.6,5,2.2
史瓦帝尼,史瓦帝尼王國,Eswatini,墨巴本,africa,11.34,17364,1093238,0,,,9.5
衣索比亞,衣索比亞聯邦民主共和國,Ethiopia,阿迪斯阿貝巴,africa,195.8,1104300,98665000,0,64.8,0.4,7.56
斐濟,斐濟共和國,Fiji,蘇瓦,oceania,8.647,18272,884887,0,69.9,0.5,2.26
芬蘭,芬蘭共和國,Finland,赫爾辛基,europe,242.4,338424,5521158,5,81.1,32.4,1.2
法國,法蘭西共和國,France,巴黎,europe,2826,640679,67009000,63,82.4,19.6,1.3
加彭,加彭共和國,Gabon,自由市,africa,36.75,267668,2172579,0,66,3.4,8.04
喬治亞,喬治亞,Georgia,提比里斯,asia,39.32,69700,3723500,0,74.4,10.1,0.99
德國,德意志聯邦共和國,Germany,柏林,europe,4150,357114,83019200,108,81,19.6,1
加納,加納共和國,Ghana,阿克拉,africa,130.2,238533,30280811,1,62.4,8,2.1
希臘,希臘共和國,Greece,雅典,europe,299.5,131990,10741165,2,81,17.6,0.7
格瑞那達,格瑞那達,Grenada,聖喬治,north_america,1.59,344,112003,0,73.6,4.6,11.1
瓜地馬拉,瓜地馬拉共和國,Guatemala,瓜地馬拉市,north_america,138.3,108889,17679735,2,71.9,12.1,26.1
幾內亞,幾內亞共和國,Guinea,柯那克里,africa,26.45,245857,12218357,0,59,1,8.82
幾內亞比索,幾內亞比索共和國,Guinea-Bissau,比索,africa,3.071,36125,1604528,0,58.9,1.5,1.1
蓋亞那,蓋亞那合作共和國,Guyana,喬治城,south_america,6.367,214969,782766,0,66.2,15.8,14.8
海地,海地共和國,Haiti,太子港,north_america,19.88,27750,11577779,0,63.5,2.6,10.04
宏都拉斯,宏都拉斯共和國,Honduras,德古西加巴,north_america,45.68,112492,9158345,0,74.6,14.1,41.7
匈牙利,匈牙利,Hungary,布達佩斯,europe,283.6,93028,9764000,13,75.9,10.5,2.5
冰島,冰島共和國,Iceland,雷克雅維克,europe,17.73,103000,358780,1,82.7,31.7,0.9
印度,印度共和國,India,新德里,asia,11947,3287263,1350240000,10,68.3,5.3,3.22
印尼,印度尼西亞共和國,Indonesia,雅加達,asia,3243,1910931,268074600,0,69.1,0,0.4
伊朗,伊朗伊斯蘭共和國,Iran,德黑蘭,asia,1631,1648195,82649000,2,75.5,7.3,2.47
伊拉克,伊拉克共和國,Iraq,巴格達,asia,660.7,438317,39127900,1,68.9,19.6,9.85
愛爾蘭,愛爾蘭,Ireland,都柏林,europe,344.8,70273,4857000,7,81.4,7.2,0.9
